method,block_size,matrix_a_shape,matrix_b_shape,time_seconds,gflops
hybrid_parallel,block_8,256x256,256x256,0.001336,25.113
hybrid_transposed,block_8,256x256,256x256,0.003099,10.826
hybrid_parallel,block_8,256x128,128x256,0.000750,22.367
hybrid_transposed,block_8,256x128,128x256,0.001787,9.386
hybrid_parallel,block_16,256x256,256x256,0.001518,22.110
hybrid_transposed,block_16,256x256,256x256,0.003404,9.859
hybrid_parallel,block_16,256x128,128x256,0.001142,14.694
hybrid_transposed,block_16,256x128,128x256,0.002053,8.173
hybrid_parallel,block_32,256x256,256x256,0.001681,19.964
hybrid_transposed,block_32,256x256,256x256,0.003400,9.868
hybrid_parallel,block_32,256x128,128x256,0.001016,16.514
hybrid_transposed,block_32,256x128,128x256,0.001962,8.549
hybrid_parallel,block_64,256x256,256x256,0.001395,24.048
hybrid_transposed,block_64,256x256,256x256,0.003083,10.882
hybrid_parallel,block_64,256x128,128x256,0.000678,24.763
hybrid_transposed,block_64,256x128,128x256,0.001998,8.396
hybrid_parallel,block_128,256x256,256x256,0.001368,24.527
hybrid_transposed,block_128,256x256,256x256,0.002898,11.579
hybrid_parallel,block_128,256x128,128x256,0.000915,18.330
hybrid_transposed,block_128,256x128,128x256,0.002267,7.399
hybrid_parallel,block_256,256x256,256x256,0.001361,24.663
hybrid_transposed,block_256,256x256,256x256,0.003810,8.807
hybrid_parallel,block_256,256x128,128x256,0.000693,24.208
hybrid_transposed,block_256,256x128,128x256,0.001721,9.750
hybrid_parallel,block_8,512x512,512x512,0.006623,40.533
hybrid_transposed,block_8,512x512,512x512,0.010478,25.619
hybrid_parallel,block_8,512x256,256x512,0.006152,21.819
hybrid_transposed,block_8,512x256,256x512,0.005364,25.020
hybrid_parallel,block_16,512x512,512x512,0.008145,32.959
hybrid_transposed,block_16,512x512,512x512,0.010576,25.382
hybrid_parallel,block_16,512x256,256x512,0.004750,28.259
hybrid_transposed,block_16,512x256,256x512,0.005107,26.280
hybrid_parallel,block_32,512x512,512x512,0.006804,39.453
hybrid_transposed,block_32,512x512,512x512,0.010437,25.719
hybrid_parallel,block_32,512x256,256x512,0.005709,23.510
hybrid_transposed,block_32,512x256,256x512,0.005150,26.060
hybrid_parallel,block_64,512x512,512x512,0.006423,41.793
hybrid_transposed,block_64,512x512,512x512,0.010492,25.584
hybrid_parallel,block_64,512x256,256x512,0.006106,21.982
hybrid_transposed,block_64,512x256,256x512,0.005496,24.420
hybrid_parallel,block_128,512x512,512x512,0.007308,36.732
hybrid_transposed,block_128,512x512,512x512,0.010237,26.223
hybrid_parallel,block_128,512x256,256x512,0.004559,29.440
hybrid_transposed,block_128,512x256,256x512,0.005101,26.313
hybrid_parallel,block_256,512x512,512x512,0.006129,43.800
hybrid_transposed,block_256,512x512,512x512,0.010205,26.305
hybrid_parallel,block_256,512x256,256x512,0.004758,28.211
hybrid_transposed,block_256,512x256,256x512,0.004999,26.850
hybrid_parallel,block_512,512x512,512x512,0.006388,42.020
hybrid_transposed,block_512,512x512,512x512,0.010311,26.033
hybrid_parallel,block_512,512x256,256x512,0.005836,22.998
hybrid_transposed,block_512,512x256,256x512,0.005199,25.816
